,jobDist,n,m,lowerBound,cost,time,timeToBestCost
85,discreteUniform,10,6,31213.0,36299,39.400835037231445,0.0
86,discreteUniform,10,6,35292.0,38082,39.40052843093872,0.0
87,discreteUniform,10,6,36380.666666666664,49413,39.40011143684387,0.0
88,discreteUniform,10,6,38982.0,38982,0.0,0.0
89,discreteUniform,10,6,34221.0,34221,0.0,0.0
90,largeJobs,10,6,56819.0,66536,39.40091061592102,0.0
91,largeJobs,10,6,55526.833333333336,67419,39.40010976791382,0.0
92,largeJobs,10,6,57275.333333333336,69316,39.40086317062378,0.0
93,largeJobs,10,6,52359.833333333336,62208,39.40093278884888,0.0
94,largeJobs,10,6,53188.666666666664,64362,39.40067791938782,0.0
95,largeJobs,10,6,56213.833333333336,66410,39.40073537826538,0.0
96,largeJobs,10,6,55991.833333333336,67171,39.40063428878784,0.0
97,largeJobs,10,6,57074.333333333336,67482,39.40066957473755,0.0
98,largeJobs,10,6,57643.166666666664,68952,39.41366147994995,0.0
99,largeJobs,10,6,51792.166666666664,60400,39.40100049972534,0.0
100,extremes,10,6,29980.0,29980,0.0,0.0
101,extremes,10,6,39782.0,39782,0.0,0.0
102,extremes,10,6,36101.0,36101,0.0,0.0
103,extremes,10,6,48292.166666666664,64220,39.4014618396759,0.0
104,extremes,10,6,39373.0,40465,39.403018951416016,0.0
105,extremes,10,6,39028.0,39028,0.0,0.0
106,extremes,10,6,39532.0,58682,39.40026879310608,0.0
107,extremes,10,6,44423.166666666664,55361,39.40097451210022,0.0010013580322265625
108,extremes,10,6,39950.0,39950,0.0,0.0
109,extremes,10,6,44606.333333333336,59372,39.4006028175354,0.0
110,centred,10,6,31342.333333333332,36065,39.400033712387085,0.0
111,centred,10,6,33407.0,36571,39.400254249572754,0.0
112,centred,10,6,29189.166666666668,32808,39.403955936431885,0.0
113,centred,10,6,31190.5,35940,39.406538009643555,0.0
114,centred,10,6,33962.5,38442,39.40096974372864,0.0
115,centred,10,6,31862.0,36318,39.40099120140076,0.0
116,centred,10,6,29544.166666666668,33045,39.40091109275818,0.0
117,centred,10,6,39700.5,46054,39.40011954307556,0.0009992122650146484
118,centred,10,6,29035.333333333332,31716,39.400089502334595,0.0
119,centred,10,6,35537.666666666664,40572,39.40005087852478,0.0
120,discreteUniform,10,8,38533.0,38533,0.0,0.0
121,discreteUniform,10,8,35841.0,35841,0.0,0.0
122,discreteUniform,10,8,28555.0,28555,0.0,0.0
123,discreteUniform,10,8,26427.0,26427,0.0009989738464355469,0.0
124,discreteUniform,10,8,37526.0,37526,0.0009989738464355469,0.0
125,discreteUniform,10,8,38948.0,38948,0.0,0.0
126,discreteUniform,10,8,37602.0,37602,0.0,0.0
127,discreteUniform,10,8,39451.0,39451,0.0,0.0
128,discreteUniform,10,8,26057.0,26057,0.0,0.0
129,discreteUniform,10,8,38997.0,38997,0.0,0.0
130,largeJobs,10,8,41427.375,63151,39.40058708190918,0.0
131,largeJobs,10,8,40937.125,60837,39.40062880516052,0.0
132,largeJobs,10,8,43587.5,63709,39.400065898895264,0.0
133,largeJobs,10,8,42279.25,60312,39.40057682991028,0.0
134,largeJobs,10,8,42534.625,62341,39.401029109954834,0.0
