,jobDist,n,m,lowerBound,cost,time
97,largeJobs,10,6,57074.333333333336,67482.0,0.0
98,largeJobs,10,6,57643.166666666664,68952.0,0.00099945068359375
99,largeJobs,10,6,51792.166666666664,60400.0,0.0009992122650146484
100,extremes,10,6,29980.0,29980.0,0.0
101,extremes,10,6,39782.0,39782.0,0.0009999275207519531
102,extremes,10,6,36101.0,36101.0,0.0
103,extremes,10,6,48292.166666666664,64220.0,0.0
104,extremes,10,6,39373.0,40465.0,0.0
105,extremes,10,6,39028.0,39028.0,0.0
106,extremes,10,6,39532.0,58682.0,0.0010004043579101562
107,extremes,10,6,44423.166666666664,55361.0,0.0009984970092773438
108,extremes,10,6,39950.0,39950.0,0.0
109,extremes,10,6,44606.333333333336,59372.0,0.0
110,centred,10,6,31342.333333333332,36065.0,0.0
111,centred,10,6,33407.0,36571.0,0.0
112,centred,10,6,29189.166666666668,32808.0,0.0009987354278564453
113,centred,10,6,31190.5,35940.0,0.0009992122650146484
114,centred,10,6,33962.5,39150.0,0.0009996891021728516
115,centred,10,6,31862.0,36318.0,0.0
116,centred,10,6,29544.166666666668,33045.0,0.0
117,centred,10,6,39700.5,46054.0,0.0009992122650146484
118,centred,10,6,29035.333333333332,31716.0,0.0
119,centred,10,6,35537.666666666664,40572.0,0.0
120,discreteUniform,10,8,38533.0,38533.0,0.0
121,discreteUniform,10,8,35841.0,35841.0,0.0
122,discreteUniform,10,8,28555.0,28555.0,0.0009989738464355469
123,discreteUniform,10,8,26427.0,26427.0,0.0009992122650146484
124,discreteUniform,10,8,37526.0,37526.0,0.0
125,discreteUniform,10,8,38948.0,38948.0,0.0
126,discreteUniform,10,8,37602.0,37602.0,0.0
127,discreteUniform,10,8,39451.0,39451.0,0.0009996891021728516
128,discreteUniform,10,8,26057.0,26057.0,0.0
129,discreteUniform,10,8,38997.0,38997.0,0.0010001659393310547
130,largeJobs,10,8,41427.375,63151.0,0.0
131,largeJobs,10,8,40937.125,60837.0,0.0009989738464355469
132,largeJobs,10,8,43587.5,63709.0,0.00099945068359375
133,largeJobs,10,8,42279.25,60312.0,0.0
134,largeJobs,10,8,42534.625,62341.0,0.0
135,largeJobs,10,8,40908.125,60427.0,0.0
136,largeJobs,10,8,39980.125,57340.0,0.0
137,largeJobs,10,8,42520.0,62732.0,0.0009987354278564453
138,largeJobs,10,8,43305.0,66400.0,0.0
139,largeJobs,10,8,41903.25,58742.0,0.0
140,extremes,10,8,38251.0,38251.0,0.00099945068359375
141,extremes,10,8,38936.0,38936.0,0.0009989738464355469
142,extremes,10,8,38235.0,38235.0,0.00099945068359375
143,extremes,10,8,38869.0,38869.0,0.0009992122650146484
144,extremes,10,8,39716.0,39716.0,0.0
145,extremes,10,8,39961.0,39961.0,0.0
146,extremes,10,8,39410.0,39410.0,0.0
147,extremes,10,8,35768.0,35768.0,0.0
